"Age-specific death rates by sex, December years (total population) (Annual-Dec)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","Male","","","","","","","","","","","","","","","","","","","Female","","","","","","","","","","","","","","","","","",""
" ","0-4 Years","5-9 Years","10-14 Years","15-19 Years","20-24 Years","25-29 Years","30-34 Years","35-39 Years","40-44 Years","45-49 Years","50-54 Years","55-59 Years","60-64 Years","65-69 Years","70-74 Years","75-79 Years","80-84 Years","85-89 Years","90 Years and Over","0-4 Years","5-9 Years","10-14 Years","15-19 Years","20-24 Years","25-29 Years","30-34 Years","35-39 Years","40-44 Years","45-49 Years","50-54 Years","55-59 Years","60-64 Years","65-69 Years","70-74 Years","75-79 Years","80-84 Years","85-89 Years","90 Years and Over"
1989,3.08,0.32,0.35,1.63,2.08,1.57,1.49,1.61,2.43,3.65,6.84,10.36,18.66,30.29,47.60,76.69,115.28,181.65,271.12,2.18,0.21,0.18,0.60,0.60,0.49,0.64,0.98,1.59,2.78,4.55,6.46,10.81,15.86,27.29,44.54,78.21,126.55,243.34
1990,2.70,0.28,0.30,1.45,2.18,1.59,1.42,1.62,2.26,3.57,6.03,10.77,17.42,28.63,46.50,73.59,111.83,166.21,237.69,1.82,0.16,0.18,0.59,0.58,0.62,0.69,0.91,1.60,2.82,4.65,7.14,10.56,16.28,26.95,40.76,73.54,116.71,231.55
1991,2.39,0.26,0.38,1.19,1.75,1.37,1.29,1.81,2.28,3.56,5.56,9.69,16.45,27.21,43.02,68.32,108.11,157.29,254.42,1.71,0.23,0.13,0.47,0.50,0.52,0.74,1.08,1.62,2.41,4.13,6.23,9.93,15.52,24.31,40.31,72.10,121.16,223.81
1992,2.10,0.26,0.36,1.29,1.71,1.55,1.32,1.70,1.96,3.27,6.03,10.32,16.59,27.83,42.72,68.88,115.72,177.24,270.39,1.49,0.26,0.21,0.45,0.56,0.44,0.59,0.92,1.38,2.43,3.86,5.86,9.11,14.55,24.27,40.00,71.73,122.19,219.39
1993,1.90,0.15,0.22,1.32,1.78,1.32,1.18,1.72,2.29,3.06,5.77,9.27,15.59,25.26,41.72,70.65,105.31,166.80,270.45,1.69,0.17,0.21,0.49,0.52,0.53,0.60,0.75,1.54,2.12,3.99,6.40,9.54,14.89,23.67,40.28,70.28,122.22,218.90
1994,1.78,0.22,0.26,0.96,1.41,1.45,1.40,1.47,2.06,2.99,5.40,8.74,14.96,25.56,40.98,66.50,106.96,167.51,273.66,1.58,0.16,0.12,0.52,0.49,0.48,0.63,0.87,1.31,1.93,3.93,5.78,9.53,13.68,23.51,37.92,67.56,117.94,221.22
1995,1.63,0.22,0.27,1.17,1.70,1.57,1.29,1.30,1.94,3.19,5.56,9.06,14.93,25.40,40.25,66.95,102.67,173.91,281.62,1.56,0.15,0.17,0.48,0.60,0.52,0.67,0.94,1.35,2.29,4.09,5.77,9.10,14.19,23.26,38.57,66.34,116.48,234.64
1996,1.81,0.19,0.25,1.25,1.42,1.42,1.37,1.47,1.64,3.06,5.18,8.73,15.48,24.22,39.41,62.68,102.94,171.40,281.47,1.60,0.17,0.25,0.65,0.48,0.51,0.67,0.81,1.10,2.48,3.57,5.45,9.66,14.66,23.11,38.60,69.83,118.47,235.05
1997,1.84,0.21,0.22,1.23,1.31,1.43,1.29,1.43,2.08,2.86,5.18,8.06,14.12,24.04,37.26,58.52,102.98,158.37,268.32,1.42,0.11,0.22,0.51,0.46,0.58,0.70,0.69,1.31,2.11,3.49,5.76,8.09,13.70,21.45,34.51,64.79,113.53,225.05
1998,1.58,0.21,0.31,0.95,1.32,1.39,1.19,1.51,2.02,2.68,4.28,7.95,13.60,21.81,34.17,55.89,92.31,147.91,253.27,1.09,0.13,0.21,0.59,0.35,0.39,0.69,0.75,1.40,1.83,3.14,5.33,8.43,13.03,19.82,34.12,59.71,102.93,204.15
1999,1.59,0.16,0.26,0.90,1.24,1.35,1.19,1.41,1.82,2.85,4.56,8.23,13.67,20.61,35.46,60.57,96.67,154.42,277.01,1.14,0.09,0.21,0.56,0.46,0.42,0.57,0.79,1.37,1.94,3.10,5.31,8.67,13.58,21.46,35.09,61.65,115.43,233.53
2000,1.66,0.14,0.29,0.87,1.17,1.27,1.34,1.29,1.84,2.80,4.21,7.15,11.38,20.80,32.94,56.66,91.74,145.89,250.00,1.38,0.18,0.12,0.35,0.32,0.51,0.51,0.70,1.22,1.94,3.10,5.14,7.79,12.26,19.45,31.97,56.98,102.26,202.30
2001,1.47,0.15,0.24,0.93,1.24,1.09,1.31,1.30,1.84,2.42,4.15,6.76,11.75,19.91,34.60,52.41,87.25,155.26,277.82,1.15,0.17,0.18,0.43,0.38,0.46,0.55,0.71,1.10,1.85,3.13,4.61,8.27,12.51,19.05,33.04,60.84,111.47,220.17
2002,1.39,0.18,0.22,0.79,1.02,1.14,1.11,1.39,1.79,2.67,4.18,6.91,11.16,19.12,31.50,52.32,87.23,155.76,263.39,1.31,0.14,0.13,0.36,0.42,0.50,0.61,0.79,1.12,1.84,2.78,4.86,7.40,11.81,19.90,33.57,57.16,109.90,227.04
2003,1.41,0.15,0.24,0.93,0.94,1.05,1.21,1.35,1.83,2.66,4.18,6.49,10.80,17.91,30.62,50.17,87.97,146.62,255.78,1.11,0.11,0.12,0.52,0.39,0.42,0.56,0.80,1.14,1.89,3.00,4.54,7.11,11.89,19.30,31.31,56.44,108.36,221.19
2004,1.40,0.12,0.21,0.84,0.99,1.04,0.88,1.40,1.63,2.73,3.89,6.01,10.18,17.74,29.21,49.40,87.32,146.46,261.32,1.31,0.10,0.13,0.44,0.35,0.35,0.57,0.80,1.11,1.88,3.02,4.38,7.32,11.27,18.83,30.95,57.05,113.17,222.54
2005,1.40,0.13,0.20,0.91,1.08,1.01,1.01,1.33,1.89,2.40,3.89,6.24,9.81,15.89,26.30,44.01,78.95,132.38,229.39,1.09,0.18,0.12,0.40,0.39,0.30,0.57,0.76,1.13,1.93,2.59,4.14,6.69,10.22,16.68,28.90,55.73,98.28,209.20
2006,1.41,0.16,0.16,0.87,0.89,0.94,1.02,1.18,1.58,2.50,3.72,6.07,10.04,15.86,26.93,44.63,76.48,138.02,244.81,1.09,0.08,0.12,0.39,0.32,0.37,0.46,0.73,1.15,1.82,2.76,4.21,6.40,10.29,18.13,30.48,53.20,102.71,226.29
2007,1.44,0.16,0.18,0.74,1.02,0.90,1.08,1.36,1.64,2.68,3.92,5.86,9.40,15.19,27.02,44.85,78.13,130.72,239.64,1.29,0.09,0.17,0.42,0.39,0.32,0.56,0.81,1.27,1.49,2.56,4.22,6.16,10.58,16.90,28.57,51.92,101.81,216.45
2008,1.57,0.13,0.21,0.81,1.04,0.90,0.95,1.27,1.63,2.34,3.51,5.89,9.40,15.57,25.11,44.85,77.86,135.76,232.79,1.10,0.13,0.12,0.42,0.39,0.38,0.44,0.81,1.09,1.46,2.45,4.57,6.37,10.09,17.55,28.77,53.03,101.92,221.45
2009,1.31,0.09,0.17,0.81,1.04,0.81,1.26,1.17,1.68,2.36,3.80,5.35,9.04,14.95,24.80,42.79,72.98,128.17,243.44,1.16,0.13,0.18,0.34,0.32,0.47,0.45,0.71,1.13,1.74,2.81,3.65,6.03,9.96,16.62,26.29,52.43,99.86,214.58
2010,1.36,0.08,0.15,0.73,0.92,0.71,0.77,1.23,1.61,2.54,3.63,5.74,8.21,13.97,22.86,39.23,71.97,122.57,231.01,1.11,0.04,0.12,0.33,0.33,0.40,0.54,0.67,1.15,1.70,2.48,3.58,5.81,9.50,15.43,26.14,50.19,95.93,202.94
2011,1.27,0.05,0.17,0.79,0.94,0.82,0.97,1.05,1.72,2.20,3.41,5.84,8.39,13.95,22.99,40.51,70.80,128.51,234.94,0.91,0.06,0.10,0.31,0.50,0.47,0.57,0.76,1.09,1.63,2.38,3.72,6.01,10.20,15.57,27.07,51.42,102.20,222.20
2012,1.09,0.11,0.19,0.74,0.87,0.88,0.73,1.08,1.58,2.41,3.57,5.22,8.19,13.79,22.94,38.55,70.75,129.57,234.05,0.93,0.10,0.12,0.35,0.35,0.24,0.56,0.58,1.09,1.82,2.56,3.34,5.50,8.83,14.85,26.79,49.36,100.10,220.07
2013,1.07,0.08,0.10,0.64,0.77,0.73,0.71,1.09,1.54,2.41,3.52,5.39,7.93,12.71,22.46,37.39,68.09,126.83,217.62,0.93,0.08,0.10,0.32,0.29,0.27,0.47,0.64,1.01,1.59,2.69,3.48,5.74,8.60,14.22,26.34,46.65,94.70,201.54
2014,1.33,0.17,0.10,0.56,0.70,0.71,0.82,1.14,1.46,2.27,3.64,5.18,7.95,13.18,21.58,37.46,69.05,125.68,245.29,1.14,0.06,0.08,0.22,0.26,0.34,0.37,0.54,1.02,1.48,2.50,3.82,5.69,8.30,14.40,26.58,51.10,95.61,211.35
2015,1.03,0.11,0.14,0.59,0.75,0.75,0.79,0.92,1.42,2.21,3.32,5.15,8.09,12.72,22.29,36.82,66.65,123.27,237.74,0.99,0.08,0.10,0.29,0.32,0.32,0.46,0.60,0.96,1.72,2.54,3.55,5.22,8.81,14.60,26.47,51.60,93.58,213.36
2016,0.88,0.11,0.12,0.51,0.65,0.77,0.83,0.97,1.49,2.17,3.51,5.53,7.92,12.53,19.91,34.74,64.98,118.05,227.68,0.77,0.11,0.08,0.25,0.31,0.32,0.46,0.57,1.02,1.51,2.47,3.67,5.21,8.32,13.54,23.98,47.33,92.40,203.00
2017,0.96,0.11,0.13,0.50,0.80,0.86,0.87,1.07,1.59,2.30,3.50,5.12,8.39,12.45,20.28,36.53,67.12,124.37,234.78,0.83,0.09,0.08,0.31,0.40,0.36,0.48,0.69,0.75,1.52,2.41,3.66,5.51,8.68,14.86,26.04,49.57,98.04,207.26
2018,0.90,0.11,0.13,0.59,0.80,0.71,0.88,0.96,1.53,2.07,3.45,5.59,8.19,12.03,19.84,35.07,66.57,120.55,234.05,0.89,0.09,0.16,0.27,0.35,0.38,0.46,0.71,0.94,1.40,2.40,3.60,5.40,8.46,13.75,24.24,46.90,92.25,205.44
2019,1.13,0.09,0.18,0.53,0.86,0.79,0.99,1.15,1.39,2.25,3.72,5.55,7.81,12.37,20.12,35.10,62.75,124.40,226.51,1.01,0.09,0.15,0.29,0.33,0.33,0.49,0.52,1.03,1.66,2.43,3.39,5.25,8.24,13.42,23.85,45.96,95.73,209.38
2020,0.97,0.12,0.16,0.50,0.63,0.72,0.69,0.98,1.44,2.28,3.29,4.87,7.59,11.67,18.46,33.68,59.37,109.59,211.24,0.77,0.02,0.11,0.29,0.37,0.32,0.38,0.59,0.87,1.35,2.36,3.72,4.91,7.94,12.49,21.90,41.95,85.29,185.95
2021,1.15,0.09,0.14,0.50,0.70,0.70,0.93,1.05,1.51,2.04,3.53,5.26,7.58,12.07,18.87,33.08,59.26,117.02,223.05,0.93,0.08,0.15,0.33,0.36,0.33,0.33,0.61,0.97,1.35,2.36,3.41,5.40,7.76,13.15,22.98,44.70,88.26,199.19
2022,0.95,0.07,0.12,0.42,0.68,0.79,0.91,1.03,1.45,2.27,3.60,5.84,8.46,12.57,20.23,35.53,62.22,125.11,248.87,0.69,0.06,0.11,0.25,0.40,0.42,0.39,0.63,0.94,1.63,2.37,3.67,5.76,8.68,13.41,25.05,48.48,94.93,227.32
"Table information:"
"Units:"
"/ 1000, Magnitude = Units"
""
"Footnotes:"
"Rates from 1991 onward are based on the resident population concept. Before 1991, rates are based on the de facto population concept. Vitals data (births, deaths and marriages) is based on date of registration (not date of occurrence)."
"Deaths per 1,000 mean estimated population in each age group."
" "
"Symbols:"
".. figure not available"
"C: Confidential"
"E: Early Estimate"
"P: Provisional"
"R: Revised"
"S: Suppressed"
""
"Status flags are not displayed"
""
"Table reference: "
"DMM001AA"
""
"Last updated:"
"16 November 2023 10:45am"
""
"Source: Statistics New Zealand"
"Contact: Information Centre"
"Telephone: 0508 525 525"
"Email:info@stats.govt.nz"
""
""
""
